Hole SNR1 SNR2 SNR3 SNR4 HasAlignment
11403709 13.0441 8.25797 12.8402 6.94806 True
11403711 14.3011 9.39831 13.7846 7.3544 True
11403920 11.9775 7.842 9.63255 5.00393 True
11403923 13.4217 8.91918 12.3176 6.74923 True
11403925 13.7031 9.02375 13.3108 6.97089 True
11403926 13.9169 9.15138 12.531 6.77397 True
11403930 4.80619 3.27115 3.43869 2.26377 False
11403933 6.7535 4.30462 5.1143 2.42621 False
11403935 13.4077 8.92355 12.679 6.76014 True
11403936 12.5094 8.28654 10.0937 5.41594 True
11403938 16.6368 10.9872 14.1028 7.51191 True
11403944 13.3684 8.67839 12.798 6.82987 True
11403947 4.54584 2.38029 4.51796 2.44724 False
11403948 13.7102 7.33731 12.3263 5.03752 False
11403949 13.1679 9.18604 13.2058 7.20161 True
11404160 14.5953 9.42258 13.4731 7.165 True
11404164 13.754 8.80885 12.8614 6.97583 True
11404171 13.397 8.86553 10.5462 5.61425 True
11404178 14.2543 9.41814 13.2602 7.07336 False
11404182 9.83297 7.01306 10.2466 5.12874 False
11404191 14.9128 9.95929 15.185 8.43908 True
11468983 11.8883 7.53144 8.53813 4.5649 True
11468984 13.8436 9.12663 12.9331 6.76806 True
11468986 12.3917 7.77065 11.2613 6.09726 True
11468987 9.98871 5.9907 4.88595 2.19145 False
11468988 10.4665 5.35079 10.4992 3.73612 False
11468994 14.3273 9.41755 14.9881 8.41264 False
11468995 12.1243 7.96338 12.8502 6.77937 False
11468996 10.7677 4.72842 6.33108 3.08643 False
11468998 13.7366 9.01924 13.5044 7.74977 True
11468999 14.6461 9.62845 9.99937 5.27493 True
11469001 15.0802 9.46924 14.14 7.62234 True
11469005 13.1427 8.38429 11.0647 5.68171 True
11469007 13.2738 9.46463 11.8554 6.53138 True
11469216 13.9208 9.46241 11.9181 6.49772 True
11469217 13.1861 8.05852 12.0028 6.31133 True
11469219 13.967 8.64678 13.1879 6.62403 True
11469222 9.58542 5.79898 7.49273 3.82436 True
11469225 10.5161 6.79355 7.99568 4.19208 True
11469226 11.7691 7.99414 10.8556 5.67897 True
11469228 11.0168 8.1344 8.90292 4.69977 True
11469230 14.1622 8.70924 14.501 7.47763 False
11469233 12.7818 8.9116 10.5301 5.55521 True
11469237 12.7764 8.4916 12.596 5.90255 True
11469241 12.9152 8.35611 11.095 5.8068 True
11469242 13.0727 8.23035 12.5352 6.22395 True
11469456 15.6204 10.2403 14.1987 7.42628 True
11469457 11.7451 7.69469 10.0494 5.3227 True
11469470 13.9199 9.039 14.3807 7.81831 True
11469472 11.8502 5.74483 6.91581 2.6902 False
11469474 11.2843 7.7956 12.5499 7.16521 True
11469475 13.7902 9.12689 13.4232 7.36705 True
11469477 13.5373 8.5848 13.19 6.74305 True
11469479 14.8999 9.88696 13.7266 7.36584 True
11469482 14.7467 9.75348 12.7901 6.89669 True
11469485 12.9556 8.77785 10.8208 5.88703 True
11469486 6.43941 4.23624 5.16723 2.74726 True
11469487 11.2723 7.47477 10.1741 5.41216 True
11469696 15.0759 9.91021 13.2931 7.12803 True
11469702 11.4302 7.25286 13.0915 6.12947 False
11469705 14.5024 9.2921 12.6071 6.81312 True
11469709 15.3192 5.27952 13.3002 4.20159 False
11469719 12.5971 8.18328 12.4443 6.68807 True
11469720 9.49409 6.14172 7.4189 3.8978 True
11469721 6.86318 4.28023 6.30232 3.30689 True
11534512 14.3738 9.17331 13.5185 7.08532 True
11534513 14.022 9.00993 11.8101 6.27034 True
11534516 11.3194 6.93606 8.63428 4.48682 True
11534517 12.7351 7.84067 14.3421 7.19278 False
11534518 12.7589 8.41005 11.437 6.05795 True
11534522 14.5883 9.22581 13.3738 6.53477 True
11534524 4.94926 3.35231 4.98808 2.51719 False
11534525 13.6683 8.63744 14.0282 7.26903 False
11534527 14.9395 9.93481 12.1265 6.53368 True
11534528 13.5327 8.89346 13.0717 7.03305 True
11534530 11.4464 8.21159 11.0492 6.06948 True
11534532 10.8634 7.3277 10.9992 6.69879 True
11534534 13.659 8.95462 10.8054 5.84651 True
11534535 12.008 7.99962 9.73651 5.02738 True
11534536 14.6183 8.60686 12.8718 6.51987 True
11534537 13.6729 8.9382 12.0 6.38898 True
11534540 15.9868 10.6284 14.4801 7.82675 True
11534542 14.9284 8.83946 12.6774 6.37054 False
11534752 13.9425 8.72604 12.1506 5.47812 True
11534753 13.8128 8.62719 12.087 6.24991 True
11534756 12.645 8.18458 11.0085 5.67092 True
11534757 8.92116 6.05126 6.82178 3.48492 True
11534760 12.9999 9.91425 13.0669 7.903 True
11534762 12.2784 8.14772 12.0449 6.43627 True
11534763 8.3288 4.73935 3.95944 1.4904 False
11534766 14.1474 9.19483 12.5916 6.65494 True
11534768 7.87703 5.28469 7.42608 3.77522 True
11534770 13.6194 8.65308 12.9522 6.17749 True
11534773 13.8182 8.61748 10.5637 5.59702 True
11534774 13.1979 8.59284 3.59273 1.96132 False
11534775 6.31027 4.11063 4.8852 2.65041 True
11534776 13.6969 8.73448 10.4284 5.53308 True
11534778 12.8983 8.37404 13.1795 7.17218 True
11534779 13.6918 9.31598 10.4246 5.66647 True
11534781 6.22617 3.54641 5.05278 2.60437 False
11534782 13.9098 9.09683 11.8643 6.31512 True
11534993 15.3236 9.90156 14.8662 7.60541 True
11534995 14.2556 9.13765 12.4222 6.56047 True
11534997 15.0194 9.45495 14.1896 7.47508 True
11535002 13.0445 9.075 10.0951 5.44887 True
11535004 13.3766 8.59884 13.022 6.83805 True
11535007 11.0332 7.8621 11.2608 5.75548 True
11535009 11.9258 8.08746 13.2829 7.3727 True
11535012 13.2347 8.78946 13.9096 7.64603 True
11535013 11.4658 7.43642 9.93911 5.2533 True
11535014 13.6401 9.23916 13.0483 7.05872 True
11535016 13.0084 8.12175 10.1612 5.41276 True
11535018 15.1961 9.63506 13.6905 7.03229 True
11535020 9.31523 6.27137 8.07774 4.19802 True
11535021 13.9827 9.34607 12.8882 6.91479 True
11535023 14.6741 9.90657 13.4728 7.38021 True
11535244 14.1717 9.46998 13.5953 7.39385 True
11600048 11.9606 7.66009 11.1332 5.06699 True
11600049 13.576 8.93164 11.1118 5.94852 True
11600050 14.2254 9.34154 11.4574 5.93818 True
11600052 14.128 9.03599 13.5752 7.10649 True
11600055 13.0431 8.50846 13.5521 6.92207 True
11600056 13.9265 8.93763 11.3202 6.216 True
11600058 10.2634 4.52548 8.84896 2.40554 False
11600060 11.9111 7.76704 12.5442 6.83628 True
11600062 9.90881 6.10727 8.93755 4.35906 True
11600064 14.5697 9.20705 11.0134 5.83276 True
11600065 12.4497 7.51072 12.3687 5.74145 True
11600066 13.3041 8.33129 12.6105 6.64518 True
